,s80,p80,SAR
2887,0.08,0.36,0.48
2888,0.08,0.36,0.49
2889,0.08,0.36,0.5
2890,0.08,0.36,0.51
2891,0.08,0.36,0.52
2892,0.08,0.36,0.53
2893,0.08,0.36,0.54
2894,0.08,0.36,0.55
2895,0.08,0.36,0.56
2896,0.08,0.36,0.57
2897,0.08,0.36,0.58
2898,0.08,0.36,0.59
2899,0.08,0.36,0.6
2900,0.08,0.38,0.38
2901,0.08,0.38,0.39
2902,0.08,0.38,0.4
2903,0.08,0.38,0.41
2904,0.08,0.38,0.42
2905,0.08,0.38,0.43
2906,0.08,0.38,0.44
2907,0.08,0.38,0.45
2908,0.08,0.38,0.46
2909,0.08,0.38,0.47
2910,0.08,0.38,0.48
2911,0.08,0.38,0.49
2912,0.08,0.38,0.5
2913,0.08,0.38,0.51
2914,0.08,0.38,0.52
2915,0.08,0.38,0.53
2916,0.08,0.38,0.54
2917,0.08,0.38,0.55
2918,0.08,0.38,0.56
2919,0.08,0.38,0.57
2920,0.08,0.38,0.58
2921,0.08,0.38,0.59
2922,0.08,0.38,0.6
2923,0.08,0.4,0.38
2924,0.08,0.4,0.39
2925,0.08,0.4,0.4
2926,0.08,0.4,0.41
2927,0.08,0.4,0.42
2928,0.08,0.4,0.43
2929,0.08,0.4,0.44
2930,0.08,0.4,0.45
2931,0.08,0.4,0.46
2932,0.08,0.4,0.47
2933,0.08,0.4,0.48
2934,0.08,0.4,0.49
2935,0.08,0.4,0.5
2936,0.08,0.4,0.51
2937,0.08,0.4,0.52
2938,0.08,0.4,0.53
2939,0.08,0.4,0.54
2940,0.08,0.4,0.55
2941,0.08,0.4,0.56
2942,0.08,0.4,0.57
2943,0.08,0.4,0.58
2944,0.08,0.4,0.59
2945,0.08,0.4,0.6
2946,0.08,0.42,0.39
2947,0.08,0.42,0.4
2948,0.08,0.42,0.41
2949,0.08,0.42,0.42
2950,0.08,0.42,0.43
2951,0.08,0.42,0.44
2952,0.08,0.42,0.45
2953,0.08,0.42,0.46
2954,0.08,0.42,0.47
2955,0.08,0.42,0.48
2956,0.08,0.42,0.49
2957,0.08,0.42,0.5
2958,0.08,0.42,0.51
2959,0.08,0.42,0.52
2960,0.08,0.42,0.53
2961,0.08,0.42,0.54
2962,0.08,0.42,0.55
2963,0.08,0.42,0.56
2964,0.08,0.42,0.57
2965,0.08,0.42,0.58
2966,0.08,0.42,0.59
2967,0.08,0.42,0.6
2968,0.08,0.44,0.4
2969,0.08,0.44,0.41
2970,0.08,0.44,0.42
2971,0.08,0.44,0.43
2972,0.08,0.44,0.44
2973,0.08,0.44,0.45
2974,0.08,0.44,0.46
2975,0.08,0.44,0.47
2976,0.08,0.44,0.48
2977,0.08,0.44,0.49
2978,0.08,0.44,0.5
2979,0.08,0.44,0.51
2980,0.08,0.44,0.52
2981,0.08,0.44,0.53
2982,0.08,0.44,0.54
2983,0.08,0.44,0.55
2984,0.08,0.44,0.56
2985,0.08,0.44,0.57
2986,0.08,0.44,0.58
2987,0.08,0.44,0.59
2988,0.08,0.44,0.6
2989,0.08,0.46,0.4
2990,0.08,0.46,0.41
2991,0.08,0.46,0.42
2992,0.08,0.46,0.43
2993,0.08,0.46,0.44
2994,0.08,0.46,0.45
2995,0.08,0.46,0.46
2996,0.08,0.46,0.47
2997,0.08,0.46,0.48
2998,0.08,0.46,0.49
2999,0.08,0.46,0.5
3000,0.08,0.46,0.51
3001,0.08,0.46,0.52
3002,0.08,0.46,0.53
3003,0.08,0.46,0.54
3004,0.08,0.46,0.55
3005,0.08,0.46,0.56
3006,0.08,0.46,0.57
3007,0.08,0.46,0.58
3008,0.08,0.46,0.59
3009,0.08,0.46,0.6
3010,0.08,0.48,0.41
3011,0.08,0.48,0.42
3012,0.08,0.48,0.43
3013,0.08,0.48,0.44
3014,0.08,0.48,0.45
3015,0.08,0.48,0.46
3016,0.08,0.48,0.47
3017,0.08,0.48,0.48
3018,0.08,0.48,0.49
3019,0.08,0.48,0.5
3020,0.08,0.48,0.51
3021,0.08,0.48,0.52
3022,0.08,0.48,0.53
3023,0.08,0.48,0.54
3024,0.08,0.48,0.55
3025,0.08,0.48,0.56
3026,0.08,0.48,0.57
3027,0.08,0.48,0.58
3028,0.08,0.48,0.59
3029,0.08,0.48,0.6
3030,0.08,0.5,0.41
3031,0.08,0.5,0.42
3032,0.08,0.5,0.43
3033,0.08,0.5,0.44
3034,0.08,0.5,0.45
3035,0.08,0.5,0.46
3036,0.08,0.5,0.47
3037,0.08,0.5,0.48
3038,0.08,0.5,0.49
3039,0.08,0.5,0.5
3040,0.08,0.5,0.51
3041,0.08,0.5,0.52
3042,0.08,0.5,0.53
3043,0.08,0.5,0.54
3044,0.08,0.5,0.55
3045,0.08,0.5,0.56
3046,0.08,0.5,0.57
3047,0.08,0.5,0.58
3048,0.08,0.5,0.59
3049,0.08,0.5,0.6
3050,0.08,0.52,0.42
3051,0.08,0.52,0.43
3052,0.08,0.52,0.44
3053,0.08,0.52,0.45
3054,0.08,0.52,0.46
3055,0.08,0.52,0.47
3056,0.08,0.52,0.48
3057,0.08,0.52,0.49
3058,0.08,0.52,0.5
3059,0.08,0.52,0.51
3060,0.08,0.52,0.52
3061,0.08,0.52,0.53
3062,0.08,0.52,0.54
3063,0.08,0.52,0.55
3064,0.08,0.52,0.56
3065,0.08,0.52,0.57
3066,0.08,0.52,0.58
3067,0.08,0.52,0.59
3068,0.08,0.52,0.6
3069,0.08,0.54,0.42
3070,0.08,0.54,0.43
3071,0.08,0.54,0.44
3072,0.08,0.54,0.45
3073,0.08,0.54,0.46
3074,0.08,0.54,0.47
3075,0.08,0.54,0.48
3076,0.08,0.54,0.49
3077,0.08,0.54,0.5
3078,0.08,0.54,0.51
3079,0.08,0.54,0.52
3080,0.08,0.54,0.53
3081,0.08,0.54,0.54
3082,0.08,0.54,0.55
3083,0.08,0.54,0.56
3084,0.08,0.54,0.57
3085,0.08,0.54,0.58
3086,0.08,0.54,0.59
3087,0.08,0.54,0.6
3088,0.08,0.56,0.43
3089,0.08,0.56,0.44
3090,0.08,0.56,0.45
3091,0.08,0.56,0.46
3092,0.08,0.56,0.47
3093,0.08,0.56,0.48
3094,0.08,0.56,0.49
3095,0.08,0.56,0.5
3096,0.08,0.56,0.51
3097,0.08,0.56,0.52
3098,0.08,0.56,0.53
3099,0.08,0.56,0.54
3100,0.08,0.56,0.55
3101,0.08,0.56,0.56
3102,0.08,0.56,0.57
3103,0.08,0.56,0.58
3104,0.08,0.56,0.59
3105,0.08,0.56,0.6
3106,0.08,0.58,0.43
3107,0.08,0.58,0.44
3108,0.08,0.58,0.45
3109,0.08,0.58,0.46
3110,0.08,0.58,0.47
3111,0.08,0.58,0.48
3112,0.08,0.58,0.49
3113,0.08,0.58,0.5
3114,0.08,0.58,0.51
3115,0.08,0.58,0.52
3116,0.08,0.58,0.53
3117,0.08,0.58,0.54
3118,0.08,0.58,0.55
3119,0.08,0.58,0.56
3120,0.08,0.58,0.57
3121,0.08,0.58,0.58
3122,0.08,0.58,0.59
3123,0.08,0.58,0.6
3124,0.08,0.6,0.44
3125,0.08,0.6,0.45
3126,0.08,0.6,0.46
3127,0.08,0.6,0.47
3128,0.08,0.6,0.48
3129,0.08,0.6,0.49
3130,0.08,0.6,0.5
3131,0.08,0.6,0.51
3132,0.08,0.6,0.52
3133,0.08,0.6,0.53
3134,0.08,0.6,0.54
3135,0.08,0.6,0.55
3136,0.08,0.6,0.56
3137,0.08,0.6,0.57
3138,0.08,0.6,0.58
3139,0.08,0.6,0.59
3140,0.08,0.6,0.6
3141,0.08,0.62,0.44
3142,0.08,0.62,0.45
3143,0.08,0.62,0.46
3144,0.08,0.62,0.47
3145,0.08,0.62,0.48
3146,0.08,0.62,0.49
3147,0.08,0.62,0.5
3148,0.08,0.62,0.51
3149,0.08,0.62,0.52
3150,0.08,0.62,0.53
3151,0.08,0.62,0.54
3152,0.08,0.62,0.55
3153,0.08,0.62,0.56
3154,0.08,0.62,0.57
3155,0.08,0.62,0.58
3156,0.08,0.62,0.59
3157,0.08,0.62,0.6
3158,0.08,0.64,0.44
3159,0.08,0.64,0.45
3160,0.08,0.64,0.46
3161,0.08,0.64,0.47
3162,0.08,0.64,0.48
3163,0.08,0.64,0.49
3164,0.08,0.64,0.5
3165,0.08,0.64,0.51
3166,0.08,0.64,0.52
3167,0.08,0.64,0.53
3168,0.08,0.64,0.54
3169,0.08,0.64,0.55
3170,0.08,0.64,0.56
3171,0.08,0.64,0.57
3172,0.08,0.64,0.58
3173,0.08,0.64,0.59
3174,0.08,0.64,0.6
3175,0.08,0.66,0.45
3176,0.08,0.66,0.46
3177,0.08,0.66,0.47
3178,0.08,0.66,0.48
3179,0.08,0.66,0.49
3180,0.08,0.66,0.5
3181,0.08,0.66,0.51
3182,0.08,0.66,0.52
3183,0.08,0.66,0.53
3184,0.08,0.66,0.54
3185,0.08,0.66,0.55
3186,0.08,0.66,0.56
3187,0.08,0.66,0.57
3188,0.08,0.66,0.58
3189,0.08,0.66,0.59
3190,0.08,0.66,0.6
3191,0.08,0.68,0.45
3192,0.08,0.68,0.46
3193,0.08,0.68,0.47
3194,0.08,0.68,0.48
3195,0.08,0.68,0.49
3196,0.08,0.68,0.5
3197,0.08,0.68,0.51
3198,0.08,0.68,0.52
3199,0.08,0.68,0.53
3200,0.08,0.68,0.54
3201,0.08,0.68,0.55
3202,0.08,0.68,0.56
3203,0.08,0.68,0.57
3204,0.08,0.68,0.58
3205,0.08,0.68,0.59
3206,0.08,0.68,0.6
3207,0.08,0.7,0.45
3208,0.08,0.7,0.46
3209,0.08,0.7,0.47
3210,0.08,0.7,0.48
3211,0.08,0.7,0.49
3212,0.08,0.7,0.5
3213,0.08,0.7,0.51
3214,0.08,0.7,0.52
3215,0.08,0.7,0.53
3216,0.08,0.7,0.54
3217,0.08,0.7,0.55
3218,0.08,0.7,0.56
3219,0.08,0.7,0.57
3220,0.08,0.7,0.58
3221,0.08,0.7,0.59
3222,0.08,0.7,0.6
3223,0.08,0.72,0.46
3224,0.08,0.72,0.47
3225,0.08,0.72,0.48
3226,0.08,0.72,0.49
3227,0.08,0.72,0.5
3228,0.08,0.72,0.51
3229,0.08,0.72,0.52
3230,0.08,0.72,0.53
3231,0.08,0.72,0.54
3232,0.08,0.72,0.55
3233,0.08,0.72,0.56
3234,0.08,0.72,0.57
3235,0.08,0.72,0.58
3236,0.08,0.72,0.59
3237,0.08,0.72,0.6
3238,0.08,0.74,0.46
3239,0.08,0.74,0.47
3240,0.08,0.74,0.48
3241,0.08,0.74,0.49
3242,0.08,0.74,0.5
3243,0.08,0.74,0.51
3244,0.08,0.74,0.52
3245,0.08,0.74,0.53
3246,0.08,0.74,0.54
3247,0.08,0.74,0.55
3248,0.08,0.74,0.56
3249,0.08,0.74,0.57
3250,0.08,0.74,0.58
3251,0.08,0.74,0.59
3252,0.08,0.74,0.6
3253,0.08,0.76,0.46
3254,0.08,0.76,0.47
3255,0.08,0.76,0.48
3256,0.08,0.76,0.49
3257,0.08,0.76,0.5
3258,0.08,0.76,0.51
3259,0.08,0.76,0.52
3260,0.08,0.76,0.53
3261,0.08,0.76,0.54
3262,0.08,0.76,0.55
3263,0.08,0.76,0.56
3264,0.08,0.76,0.57
3265,0.08,0.76,0.58
3266,0.08,0.76,0.59
3267,0.08,0.76,0.6
3268,0.08,0.78,0.46
3269,0.08,0.78,0.47
3270,0.08,0.78,0.48
3271,0.08,0.78,0.49
3272,0.08,0.78,0.5
3273,0.08,0.78,0.51
3274,0.08,0.78,0.52
3275,0.08,0.78,0.53
3276,0.08,0.78,0.54
3277,0.08,0.78,0.55
3278,0.08,0.78,0.56
3279,0.08,0.78,0.57
3280,0.08,0.78,0.58
3281,0.08,0.78,0.59
3282,0.08,0.78,0.6
3283,0.08,0.8,0.46
3284,0.08,0.8,0.47
3285,0.08,0.8,0.48
3286,0.08,0.8,0.49
3287,0.08,0.8,0.5
3288,0.08,0.8,0.51
3289,0.08,0.8,0.52
3290,0.08,0.8,0.53
3291,0.08,0.8,0.54
3292,0.08,0.8,0.55
3293,0.08,0.8,0.56
3294,0.08,0.8,0.57
3295,0.08,0.8,0.58
3296,0.08,0.8,0.59
3297,0.08,0.8,0.6
3298,0.1,0.04,0.18
3299,0.1,0.04,0.19
3300,0.1,0.04,0.2
3301,0.1,0.04,0.21
3302,0.1,0.04,0.22
3303,0.1,0.04,0.23
3304,0.1,0.04,0.24
3305,0.1,0.04,0.25
3306,0.1,0.04,0.26
3307,0.1,0.04,0.27
3308,0.1,0.04,0.28
3309,0.1,0.04,0.29
3310,0.1,0.04,0.3
3311,0.1,0.04,0.31
3312,0.1,0.04,0.32
3313,0.1,0.04,0.33
3314,0.1,0.04,0.34
3315,0.1,0.04,0.35
3316,0.1,0.04,0.36
3317,0.1,0.04,0.37
3318,0.1,0.04,0.38
3319,0.1,0.04,0.39
3320,0.1,0.04,0.4
3321,0.1,0.04,0.41
3322,0.1,0.04,0.42
3323,0.1,0.04,0.43
3324,0.1,0.04,0.44
3325,0.1,0.04,0.45
3326,0.1,0.04,0.46
3327,0.1,0.04,0.47
3328,0.1,0.04,0.48
3329,0.1,0.04,0.49
3330,0.1,0.04,0.5
3331,0.1,0.04,0.51
3332,0.1,0.04,0.52
3333,0.1,0.04,0.53
3334,0.1,0.04,0.54
3335,0.1,0.04,0.55
3336,0.1,0.04,0.56
3337,0.1,0.04,0.57
3338,0.1,0.04,0.58
3339,0.1,0.04,0.59
3340,0.1,0.04,0.6
3341,0.1,0.06,0.21
3342,0.1,0.06,0.22
3343,0.1,0.06,0.23
3344,0.1,0.06,0.24
3345,0.1,0.06,0.25
3346,0.1,0.06,0.26
3347,0.1,0.06,0.27
3348,0.1,0.06,0.28
3349,0.1,0.06,0.29
3350,0.1,0.06,0.3
3351,0.1,0.06,0.31
3352,0.1,0.06,0.32
3353,0.1,0.06,0.33
3354,0.1,0.06,0.34
3355,0.1,0.06,0.35
3356,0.1,0.06,0.36
3357,0.1,0.06,0.37
3358,0.1,0.06,0.38
3359,0.1,0.06,0.39
3360,0.1,0.06,0.4
3361,0.1,0.06,0.41
3362,0.1,0.06,0.42
3363,0.1,0.06,0.43
3364,0.1,0.06,0.44
3365,0.1,0.06,0.45
3366,0.1,0.06,0.46
3367,0.1,0.06,0.47
3368,0.1,0.06,0.48
3369,0.1,0.06,0.49
3370,0.1,0.06,0.5
3371,0.1,0.06,0.51
3372,0.1,0.06,0.52
3373,0.1,0.06,0.53
3374,0.1,0.06,0.54
3375,0.1,0.06,0.55
3376,0.1,0.06,0.56
3377,0.1,0.06,0.57
3378,0.1,0.06,0.58
3379,0.1,0.06,0.59
3380,0.1,0.06,0.6
3381,0.1,0.08,0.23
3382,0.1,0.08,0.24
3383,0.1,0.08,0.25
3384,0.1,0.08,0.26
3385,0.1,0.08,0.27
3386,0.1,0.08,0.28
3387,0.1,0.08,0.29
3388,0.1,0.08,0.3
3389,0.1,0.08,0.31
3390,0.1,0.08,0.32
3391,0.1,0.08,0.33
3392,0.1,0.08,0.34
3393,0.1,0.08,0.35
3394,0.1,0.08,0.36
3395,0.1,0.08,0.37
3396,0.1,0.08,0.38
3397,0.1,0.08,0.39
3398,0.1,0.08,0.4
3399,0.1,0.08,0.41
3400,0.1,0.08,0.42
3401,0.1,0.08,0.43
3402,0.1,0.08,0.44
3403,0.1,0.08,0.45
3404,0.1,0.08,0.46
3405,0.1,0.08,0.47
3406,0.1,0.08,0.48
3407,0.1,0.08,0.49
3408,0.1,0.08,0.5
3409,0.1,0.08,0.51
3410,0.1,0.08,0.52
3411,0.1,0.08,0.53
3412,0.1,0.08,0.54
3413,0.1,0.08,0.55
3414,0.1,0.08,0.56
3415,0.1,0.08,0.57
3416,0.1,0.08,0.58
3417,0.1,0.08,0.59
3418,0.1,0.08,0.6
3419,0.1,0.1,0.25
3420,0.1,0.1,0.26
3421,0.1,0.1,0.27
3422,0.1,0.1,0.28
3423,0.1,0.1,0.29
3424,0.1,0.1,0.3
3425,0.1,0.1,0.31
3426,0.1,0.1,0.32
3427,0.1,0.1,0.33
3428,0.1,0.1,0.34
3429,0.1,0.1,0.35
3430,0.1,0.1,0.36
3431,0.1,0.1,0.37
3432,0.1,0.1,0.38
3433,0.1,0.1,0.39
3434,0.1,0.1,0.4
3435,0.1,0.1,0.41
3436,0.1,0.1,0.42
3437,0.1,0.1,0.43
3438,0.1,0.1,0.44
3439,0.1,0.1,0.45
3440,0.1,0.1,0.46
3441,0.1,0.1,0.47
3442,0.1,0.1,0.48
3443,0.1,0.1,0.49
3444,0.1,0.1,0.5
3445,0.1,0.1,0.51
3446,0.1,0.1,0.52
3447,0.1,0.1,0.53
3448,0.1,0.1,0.54
3449,0.1,0.1,0.55
3450,0.1,0.1,0.56
3451,0.1,0.1,0.57
3452,0.1,0.1,0.58
3453,0.1,0.1,0.59
3454,0.1,0.1,0.6
3455,0.1,0.12,0.27
3456,0.1,0.12,0.28
3457,0.1,0.12,0.29
3458,0.1,0.12,0.3
3459,0.1,0.12,0.31
3460,0.1,0.12,0.32
3461,0.1,0.12,0.33
3462,0.1,0.12,0.34
3463,0.1,0.12,0.35
3464,0.1,0.12,0.36
3465,0.1,0.12,0.37
3466,0.1,0.12,0.38
3467,0.1,0.12,0.39
3468,0.1,0.12,0.4
3469,0.1,0.12,0.41
3470,0.1,0.12,0.42
3471,0.1,0.12,0.43
3472,0.1,0.12,0.44
3473,0.1,0.12,0.45
3474,0.1,0.12,0.46
3475,0.1,0.12,0.47
3476,0.1,0.12,0.48
3477,0.1,0.12,0.49
3478,0.1,0.12,0.5
3479,0.1,0.12,0.51
3480,0.1,0.12,0.52
3481,0.1,0.12,0.53
3482,0.1,0.12,0.54
3483,0.1,0.12,0.55
3484,0.1,0.12,0.56
3485,0.1,0.12,0.57
3486,0.1,0.12,0.58
3487,0.1,0.12,0.59
3488,0.1,0.12,0.6
3489,0.1,0.14,0.28
3490,0.1,0.14,0.29
3491,0.1,0.14,0.3
3492,0.1,0.14,0.31
3493,0.1,0.14,0.32
3494,0.1,0.14,0.33
3495,0.1,0.14,0.34
3496,0.1,0.14,0.35
3497,0.1,0.14,0.36
3498,0.1,0.14,0.37
3499,0.1,0.14,0.38
3500,0.1,0.14,0.39
3501,0.1,0.14,0.4
3502,0.1,0.14,0.41
3503,0.1,0.14,0.42
3504,0.1,0.14,0.43
3505,0.1,0.14,0.44
3506,0.1,0.14,0.45
3507,0.1,0.14,0.46
3508,0.1,0.14,0.47
3509,0.1,0.14,0.48
3510,0.1,0.14,0.49
3511,0.1,0.14,0.5
3512,0.1,0.14,0.51
3513,0.1,0.14,0.52
3514,0.1,0.14,0.53
3515,0.1,0.14,0.54
3516,0.1,0.14,0.55
3517,0.1,0.14,0.56
3518,0.1,0.14,0.57
3519,0.1,0.14,0.58
3520,0.1,0.14,0.59
3521,0.1,0.14,0.6
3522,0.1,0.16,0.3
3523,0.1,0.16,0.31
3524,0.1,0.16,0.32
3525,0.1,0.16,0.33
3526,0.1,0.16,0.34
3527,0.1,0.16,0.35
3528,0.1,0.16,0.36
3529,0.1,0.16,0.37
3530,0.1,0.16,0.38
3531,0.1,0.16,0.39
3532,0.1,0.16,0.4
3533,0.1,0.16,0.41
3534,0.1,0.16,0.42
3535,0.1,0.16,0.43
3536,0.1,0.16,0.44
3537,0.1,0.16,0.45
3538,0.1,0.16,0.46
3539,0.1,0.16,0.47
3540,0.1,0.16,0.48
3541,0.1,0.16,0.49
3542,0.1,0.16,0.5
3543,0.1,0.16,0.51
3544,0.1,0.16,0.52
3545,0.1,0.16,0.53
3546,0.1,0.16,0.54
3547,0.1,0.16,0.55
3548,0.1,0.16,0.56
3549,0.1,0.16,0.57
3550,0.1,0.16,0.58
3551,0.1,0.16,0.59
3552,0.1,0.16,0.6
3553,0.1,0.18,0.31
3554,0.1,0.18,0.32
3555,0.1,0.18,0.33
3556,0.1,0.18,0.34
3557,0.1,0.18,0.35
3558,0.1,0.18,0.36
3559,0.1,0.18,0.37
3560,0.1,0.18,0.38
3561,0.1,0.18,0.39
3562,0.1,0.18,0.4
3563,0.1,0.18,0.41
3564,0.1,0.18,0.42
3565,0.1,0.18,0.43
3566,0.1,0.18,0.44
3567,0.1,0.18,0.45
3568,0.1,0.18,0.46
3569,0.1,0.18,0.47
3570,0.1,0.18,0.48
3571,0.1,0.18,0.49
3572,0.1,0.18,0.5
3573,0.1,0.18,0.51
3574,0.1,0.18,0.52
3575,0.1,0.18,0.53
3576,0.1,0.18,0.54
3577,0.1,0.18,0.55
3578,0.1,0.18,0.56
3579,0.1,0.18,0.57
3580,0.1,0.18,0.58
3581,0.1,0.18,0.59
3582,0.1,0.18,0.6
3583,0.1,0.2,0.32
3584,0.1,0.2,0.33
3585,0.1,0.2,0.34
3586,0.1,0.2,0.35
3587,0.1,0.2,0.36
3588,0.1,0.2,0.37
3589,0.1,0.2,0.38
3590,0.1,0.2,0.39
3591,0.1,0.2,0.4
3592,0.1,0.2,0.41
3593,0.1,0.2,0.42
3594,0.1,0.2,0.43
3595,0.1,0.2,0.44
3596,0.1,0.2,0.45
3597,0.1,0.2,0.46
3598,0.1,0.2,0.47
3599,0.1,0.2,0.48
3600,0.1,0.2,0.49
3601,0.1,0.2,0.5
3602,0.1,0.2,0.51
3603,0.1,0.2,0.52
3604,0.1,0.2,0.53
3605,0.1,0.2,0.54
3606,0.1,0.2,0.55
3607,0.1,0.2,0.56
3608,0.1,0.2,0.57
3609,0.1,0.2,0.58
3610,0.1,0.2,0.59
3611,0.1,0.2,0.6
3612,0.1,0.22,0.34
3613,0.1,0.22,0.35
3614,0.1,0.22,0.36
3615,0.1,0.22,0.37
3616,0.1,0.22,0.38
3617,0.1,0.22,0.39
3618,0.1,0.22,0.4
3619,0.1,0.22,0.41
3620,0.1,0.22,0.42
3621,0.1,0.22,0.43
3622,0.1,0.22,0.44
3623,0.1,0.22,0.45
3624,0.1,0.22,0.46
3625,0.1,0.22,0.47
3626,0.1,0.22,0.48
3627,0.1,0.22,0.49
3628,0.1,0.22,0.5
3629,0.1,0.22,0.51
3630,0.1,0.22,0.52
3631,0.1,0.22,0.53
3632,0.1,0.22,0.54
3633,0.1,0.22,0.55
3634,0.1,0.22,0.56
3635,0.1,0.22,0.57
3636,0.1,0.22,0.58
3637,0.1,0.22,0.59
3638,0.1,0.22,0.6
3639,0.1,0.24,0.35
3640,0.1,0.24,0.36
3641,0.1,0.24,0.37
3642,0.1,0.24,0.38
3643,0.1,0.24,0.39
3644,0.1,0.24,0.4
3645,0.1,0.24,0.41
3646,0.1,0.24,0.42
3647,0.1,0.24,0.43
3648,0.1,0.24,0.44
3649,0.1,0.24,0.45
3650,0.1,0.24,0.46
3651,0.1,0.24,0.47
3652,0.1,0.24,0.48
3653,0.1,0.24,0.49
3654,0.1,0.24,0.5
3655,0.1,0.24,0.51
3656,0.1,0.24,0.52
3657,0.1,0.24,0.53
3658,0.1,0.24,0.54
3659,0.1,0.24,0.55
3660,0.1,0.24,0.56
3661,0.1,0.24,0.57
3662,0.1,0.24,0.58
3663,0.1,0.24,0.59
3664,0.1,0.24,0.6
3665,0.1,0.26,0.36
3666,0.1,0.26,0.37
3667,0.1,0.26,0.38
3668,0.1,0.26,0.39
3669,0.1,0.26,0.4
3670,0.1,0.26,0.41
3671,0.1,0.26,0.42
3672,0.1,0.26,0.43
3673,0.1,0.26,0.44
3674,0.1,0.26,0.45
3675,0.1,0.26,0.46
3676,0.1,0.26,0.47
3677,0.1,0.26,0.48
3678,0.1,0.26,0.49
3679,0.1,0.26,0.5
3680,0.1,0.26,0.51
3681,0.1,0.26,0.52
3682,0.1,0.26,0.53
3683,0.1,0.26,0.54
3684,0.1,0.26,0.55
3685,0.1,0.26,0.56
3686,0.1,0.26,0.57
3687,0.1,0.26,0.58
3688,0.1,0.26,0.59
3689,0.1,0.26,0.6
3690,0.1,0.28,0.37
3691,0.1,0.28,0.38
3692,0.1,0.28,0.39
3693,0.1,0.28,0.4
3694,0.1,0.28,0.41
3695,0.1,0.28,0.42
3696,0.1,0.28,0.43
3697,0.1,0.28,0.44
3698,0.1,0.28,0.45
3699,0.1,0.28,0.46
3700,0.1,0.28,0.47
3701,0.1,0.28,0.48
3702,0.1,0.28,0.49
3703,0.1,0.28,0.5
3704,0.1,0.28,0.51
3705,0.1,0.28,0.52
3706,0.1,0.28,0.53
3707,0.1,0.28,0.54
3708,0.1,0.28,0.55
3709,0.1,0.28,0.56
3710,0.1,0.28,0.57
3711,0.1,0.28,0.58
3712,0.1,0.28,0.59
3713,0.1,0.28,0.6
3714,0.1,0.3,0.38
3715,0.1,0.3,0.39
3716,0.1,0.3,0.4
3717,0.1,0.3,0.41
3718,0.1,0.3,0.42
3719,0.1,0.3,0.43
3720,0.1,0.3,0.44
3721,0.1,0.3,0.45
3722,0.1,0.3,0.46
3723,0.1,0.3,0.47
3724,0.1,0.3,0.48
3725,0.1,0.3,0.49
3726,0.1,0.3,0.5
3727,0.1,0.3,0.51
3728,0.1,0.3,0.52
3729,0.1,0.3,0.53
3730,0.1,0.3,0.54
3731,0.1,0.3,0.55
3732,0.1,0.3,0.56
3733,0.1,0.3,0.57
3734,0.1,0.3,0.58
3735,0.1,0.3,0.59
3736,0.1,0.3,0.6
3737,0.1,0.32,0.38
3738,0.1,0.32,0.39
3739,0.1,0.32,0.4
3740,0.1,0.32,0.41
3741,0.1,0.32,0.42
3742,0.1,0.32,0.43
3743,0.1,0.32,0.44
3744,0.1,0.32,0.45
3745,0.1,0.32,0.46
3746,0.1,0.32,0.47
3747,0.1,0.32,0.48
3748,0.1,0.32,0.49
3749,0.1,0.32,0.5
3750,0.1,0.32,0.51
3751,0.1,0.32,0.52
3752,0.1,0.32,0.53
3753,0.1,0.32,0.54
3754,0.1,0.32,0.55
3755,0.1,0.32,0.56
3756,0.1,0.32,0.57
3757,0.1,0.32,0.58
3758,0.1,0.32,0.59
3759,0.1,0.32,0.6
3760,0.1,0.34,0.39
3761,0.1,0.34,0.4
3762,0.1,0.34,0.41
3763,0.1,0.34,0.42
3764,0.1,0.34,0.43
3765,0.1,0.34,0.44
3766,0.1,0.34,0.45
3767,0.1,0.34,0.46
3768,0.1,0.34,0.47
3769,0.1,0.34,0.48
3770,0.1,0.34,0.49
3771,0.1,0.34,0.5
3772,0.1,0.34,0.51
3773,0.1,0.34,0.52
3774,0.1,0.34,0.53
3775,0.1,0.34,0.54
3776,0.1,0.34,0.55
3777,0.1,0.34,0.56
3778,0.1,0.34,0.57
3779,0.1,0.34,0.58
3780,0.1,0.34,0.59
3781,0.1,0.34,0.6
3782,0.1,0.36,0.4
3783,0.1,0.36,0.41
3784,0.1,0.36,0.42
3785,0.1,0.36,0.43
3786,0.1,0.36,0.44
3787,0.1,0.36,0.45
3788,0.1,0.36,0.46
3789,0.1,0.36,0.47
3790,0.1,0.36,0.48
3791,0.1,0.36,0.49
3792,0.1,0.36,0.5
3793,0.1,0.36,0.51
3794,0.1,0.36,0.52
3795,0.1,0.36,0.53
3796,0.1,0.36,0.54
3797,0.1,0.36,0.55
3798,0.1,0.36,0.56
3799,0.1,0.36,0.57
3800,0.1,0.36,0.58
3801,0.1,0.36,0.59
3802,0.1,0.36,0.6
3803,0.1,0.38,0.41
3804,0.1,0.38,0.42
3805,0.1,0.38,0.43
3806,0.1,0.38,0.44
3807,0.1,0.38,0.45
3808,0.1,0.38,0.46
3809,0.1,0.38,0.47
3810,0.1,0.38,0.48
3811,0.1,0.38,0.49
3812,0.1,0.38,0.5
3813,0.1,0.38,0.51
3814,0.1,0.38,0.52
3815,0.1,0.38,0.53
3816,0.1,0.38,0.54
3817,0.1,0.38,0.55
3818,0.1,0.38,0.56
