,s80,p80,SAR
199,0.04,0.12,0.37
200,0.04,0.12,0.38
201,0.04,0.12,0.39
202,0.04,0.12,0.4
203,0.04,0.12,0.41
204,0.04,0.12,0.42
205,0.04,0.12,0.43
206,0.04,0.12,0.44
207,0.04,0.12,0.45
208,0.04,0.12,0.46
209,0.04,0.12,0.47
210,0.04,0.12,0.48
211,0.04,0.12,0.49
212,0.04,0.12,0.5
213,0.04,0.12,0.51
214,0.04,0.12,0.52
215,0.04,0.12,0.53
216,0.04,0.12,0.54
217,0.04,0.12,0.55
218,0.04,0.12,0.56
219,0.04,0.12,0.57
220,0.04,0.12,0.58
221,0.04,0.12,0.59
222,0.04,0.12,0.6
223,0.04,0.14,0.21
224,0.04,0.14,0.22
225,0.04,0.14,0.23
226,0.04,0.14,0.24
227,0.04,0.14,0.25
228,0.04,0.14,0.26
229,0.04,0.14,0.27
230,0.04,0.14,0.28
231,0.04,0.14,0.29
232,0.04,0.14,0.3
233,0.04,0.14,0.31
234,0.04,0.14,0.32
235,0.04,0.14,0.33
236,0.04,0.14,0.34
237,0.04,0.14,0.35
238,0.04,0.14,0.36
239,0.04,0.14,0.37
240,0.04,0.14,0.38
241,0.04,0.14,0.39
242,0.04,0.14,0.4
243,0.04,0.14,0.41
244,0.04,0.14,0.42
245,0.04,0.14,0.43
246,0.04,0.14,0.44
247,0.04,0.14,0.45
248,0.04,0.14,0.46
249,0.04,0.14,0.47
250,0.04,0.14,0.48
251,0.04,0.14,0.49
252,0.04,0.14,0.5
253,0.04,0.14,0.51
254,0.04,0.14,0.52
255,0.04,0.14,0.53
256,0.04,0.14,0.54
257,0.04,0.14,0.55
258,0.04,0.14,0.56
259,0.04,0.14,0.57
260,0.04,0.14,0.58
261,0.04,0.14,0.59
262,0.04,0.14,0.6
263,0.04,0.16,0.22
264,0.04,0.16,0.23
265,0.04,0.16,0.24
266,0.04,0.16,0.25
267,0.04,0.16,0.26
268,0.04,0.16,0.27
269,0.04,0.16,0.28
270,0.04,0.16,0.29
271,0.04,0.16,0.3
272,0.04,0.16,0.31
273,0.04,0.16,0.32
