s80,p80,SAR,beta
0.1,0.16,0.27,0.8014824703086347
0.1,0.16,0.28,0.8805567965820353
0.1,0.16,0.29,0.9657918643478217
0.1,0.16,0.3,0.9999989917298071
0.1,0.16,0.31,0.9999989995628239
0.1,0.16,0.32,0.9999989405478551
0.1,0.16,0.33,0.9999989994269418
0.1,0.16,0.34,0.9999972471635006
0.1,0.16,0.35,0.9999987509469066
0.1,0.16,0.36,0.9999989498715697
0.1,0.16,0.37,0.999998986786251
0.1,0.16,0.38,0.9999989961233396
0.1,0.16,0.39,0.9999989987536626
0.1,0.16,0.4,0.9999989995663158
0.1,0.16,0.41,0.9999989998383426
0.1,0.16,0.42,0.9999989999359868
0.1,0.16,0.43,0.9999989999732543
0.1,0.16,0.44,0.9999989999882782
0.1,0.16,0.45,0.9999989999946387
0.1,0.16,0.46,0.9999989999974509
0.1,0.16,0.47,0.9999989999987448
0.1,0.16,0.48,0.9999989999993619
0.1,0.16,0.49,0.999998999999666
0.1,0.16,0.5,0.9999989999998204
0.1,0.16,0.51,0.999998999999901
0.1,0.16,0.52,0.9999986612773233
0.1,0.16,0.53,0.9999987374073114
0.1,0.16,0.54,0.9999987945899944
0.1,0.16,0.55,0.9999988379878403
0.1,0.16,0.56,0.9999988712238407
0.1,0.16,0.57,0.9999988968927919
0.1,0.16,0.58,0.9999989168783743
0.1,0.16,0.59,0.9999989325591956
0.1,0.16,0.6,0.9999989449502589
0.1,0.18,0.05,0.027548932018938786
0.1,0.18,0.06,0.036833359641229114
0.1,0.18,0.07,0.04746159027476591
0.1,0.18,0.08,0.05950476091250854
0.1,0.18,0.09,0.07304303878058056
0.1,0.18,0.1,0.08816435916022207
0.1,0.18,0.11,0.10496462225596156
0.1,0.18,0.12,0.12354765884095387
0.1,0.18,0.13,0.14402539431960715
0.1,0.18,0.14,0.16651817055782026
0.1,0.18,0.15,0.1911551765820347
0.1,0.18,0.16,0.21807495163780968
0.1,0.18,0.17,0.24742595219157096
0.1,0.18,0.18,0.2793673625857514
0.1,0.18,0.19,0.31406951752913986
0.1,0.18,0.2,0.351715053299099
0.1,0.18,0.21,0.39249950071677414
0.1,0.18,0.22,0.43663306710145994
0.1,0.18,0.23,0.4843401886183345
0.1,0.18,0.24,0.5358622704056558
0.1,0.18,0.25,0.5914576950732305
0.1,0.18,0.26,0.6514062180147708
0.1,0.18,0.27,0.716004680608667
0.1,0.18,0.28,0.7855751862445838
0.1,0.18,0.29,0.8604616464161676
0.1,0.18,0.3,0.9410323027720076
0.1,0.18,0.31,0.9999871595687487
0.1,0.18,0.32,0.9999989797755533
0.1,0.18,0.33,0.9999985960594733
0.1,0.18,0.34,0.9999989958389395
0.1,0.18,0.35,0.9999989999444152
0.1,0.18,0.36,0.9999983322133472
0.1,0.18,0.37,0.9999988921057871
0.1,0.18,0.38,0.9999989720303338
0.1,0.18,0.39,0.9999989919112792
0.1,0.18,0.4,0.9999989974317338
0.1,0.18,0.41,0.9999989991160965
0.1,0.18,0.42,0.9999989996736837
0.1,0.18,0.43,0.9999989998718763
0.1,0.18,0.44,0.9999989999468769
0.1,0.18,0.45,0.9999989999768776
0.1,0.18,0.46,0.9999989999894885
0.1,0.18,0.47,0.9999989999950302
0.1,0.18,0.48,0.9999989999975655
0.1,0.18,0.49,0.9999989999987682
0.1,0.18,0.5,0.999998999999358
0.1,0.18,0.51,0.9999989999996562
0.1,0.18,0.52,0.9999989999998113
0.1,0.18,0.53,0.999998999999894
0.1,0.18,0.54,0.999998647110829
0.1,0.18,0.55,0.9999987242971925
0.1,0.18,0.56,0.9999987827857221
0.1,0.18,0.57,0.9999988275227608
0.1,0.18,0.58,0.9999988620376636
0.1,0.18,0.59,0.9999988888849687
0.1,0.18,0.6,0.9999989099269578
0.1,0.2,0.05,0.025953175552322575
0.1,0.2,0.06,0.034583379862363935
0.1,0.2,0.07,0.04442983800914197
0.1,0.2,0.08,0.055553955617062174
0.1,0.2,0.09,0.06802502581958299
0.1,0.2,0.1,0.08191955528437068
0.1,0.2,0.11,0.09732098823738412
0.1,0.2,0.12,0.11431970065822512
0.1,0.2,0.13,0.13301312611311686
0.1,0.2,0.14,0.1535060571789329
0.1,0.2,0.15,0.17591090422588843
0.1,0.2,0.16,0.20034820698030717
0.1,0.2,0.17,0.22694707862542024
0.1,0.2,0.18,0.25584571197970796
0.1,0.2,0.19,0.28719240515704797
0.1,0.2,0.2,0.3211453937520182
0.1,0.2,0.21,0.35787450026400874
0.1,0.2,0.22,0.3975613695565018
0.1,0.2,0.23,0.4404014374903215
0.1,0.2,0.24,0.4866028984001926
0.1,0.2,0.25,0.5363899246343032
0.1,0.2,0.26,0.5900023209697013
0.1,0.2,0.27,0.6476996947351701
0.1,0.2,0.28,0.7097574601944754
0.1,0.2,0.29,0.7764743222250773
0.1,0.2,0.3,0.8481700628722982
0.1,0.2,0.31,0.9251901113374416
0.1,0.2,0.32,0.9999096376337995
0.1,0.2,0.33,0.9999987042102942
0.1,0.2,0.34,0.9999973964182098
0.1,0.2,0.35,0.999998982048262
0.1,0.2,0.36,0.9999989997450843
0.1,0.2,0.37,0.999997587256931
0.1,0.2,0.38,0.9999987676407939
0.1,0.2,0.39,0.9999989494847821
0.1,0.2,0.4,0.9999989854925545
0.1,0.2,0.41,0.9999989954218379
0.1,0.2,0.42,0.9999989984329528
0.1,0.2,0.43,0.9999989994242574
0.1,0.2,0.44,0.9999989997749105
0.1,0.2,0.45,0.9999989999070305
0.1,0.2,0.46,0.9999989999596745
0.1,0.2,0.47,0.999998999981725
0.1,0.2,0.48,0.9999989999913844
0.1,0.2,0.49,0.9999989999957903
0.1,0.2,0.5,0.9999989999978751
0.1,0.2,0.51,0.9999989999988951
0.1,0.2,0.52,0.9999989999994096
0.1,0.2,0.53,0.9999989999996765
0.1,0.2,0.54,0.9999989999998186
0.1,0.2,0.55,0.999998999999896
0.1,0.2,0.56,0.9999986470575293
0.1,0.2,0.57,0.9999987220800401
0.1,0.2,0.58,0.9999987794270554
0.1,0.2,0.59,0.9999988236476831
0.1,0.2,0.6,0.9999988580253772
0.1,0.22,0.05,0.024611522596137185
0.1,0.22,0.06,0.0326955312153779
0.1,0.22,0.07,0.04189067980109341
0.1,0.22,0.08,0.052250618271626505
0.1,0.22,0.09,0.0638361931665508
0.1,0.22,0.1,0.07671466497415384
0.1,0.22,0.11,0.09095958737514073
0.1,0.22,0.12,0.10665055629200483
0.1,0.22,0.13,0.12387348406955061
0.1,0.22,0.14,0.14272072482855439
0.1,0.22,0.15,0.16329137059318188
0.1,0.22,0.16,0.1856916181235361
0.1,0.22,0.17,0.2100351818566602
0.1,0.22,0.18,0.2364437667167689
0.1,0.22,0.19,0.2650476658155248
0.1,0.22,0.2,0.2959862164598226
0.1,0.22,0.21,0.3294086074720291
0.1,0.22,0.22,0.3654745038409628
0.1,0.22,0.23,0.4043549869684793
0.1,0.22,0.24,0.4462331571712325
0.1,0.22,0.25,0.4913053651972387
0.1,0.22,0.26,0.5397821030067291
0.1,0.22,0.27,0.5918886387428315
0.1,0.22,0.28,0.6478692619483298
0.1,0.22,0.29,0.7079824231406613
0.1,0.22,0.3,0.772508900798244
0.1,0.22,0.31,0.8417493192059313
0.1,0.22,0.32,0.9160283016973075
0.1,0.22,0.33,0.9956635633233598
0.1,0.22,0.34,0.9999972776492453
0.1,0.22,0.35,0.9999948649343298
0.1,0.22,0.36,0.9999989492088983
0.1,0.22,0.37,0.9999989992253071
0.1,0.22,0.38,0.9999989999851597
0.1,0.22,0.39,0.9999985831168872
0.1,0.22,0.4,0.9999989202190733
0.1,0.22,0.41,0.9999989770985038
0.1,0.22,0.42,0.9999989927772468
0.1,0.22,0.43,0.9999989975291901
0.1,0.22,0.44,0.9999989990927685
0.1,0.22,0.45,0.9999989996455264
0.1,0.22,0.46,0.9999989998536708
0.1,0.22,0.47,0.9999989999365636
0.1,0.22,0.48,0.9999989999712653
0.1,0.22,0.49,0.9999989999864595
0.1,0.22,0.5,0.9999989999933868
0.1,0.22,0.51,0.9999989999966632
0.1,0.22,0.52,0.9999989999982656
0.1,0.22,0.53,0.9999989999990735
0.1,0.22,0.54,0.9999989999994925
0.1,0.22,0.55,0.9999989999997155
0.1,0.22,0.56,0.9999989999998371
0.1,0.22,0.57,0.9999989999999048
0.1,0.22,0.58,0.9999989999999433
0.1,0.22,0.59,0.9999987285134146
0.1,0.22,0.6,0.99999878294501
0.1,0.24,0.05,0.02346611580635046
0.1,0.24,0.06,0.031086640520608513
0.1,0.24,0.07,0.03973028199520414
0.1,0.24,0.08,0.049444354592969746
0.1,0.24,0.09,0.06028284644280348
0.1,0.24,0.1,0.0723055459456816
0.1,0.24,0.11,0.08557787131577817
0.1,0.24,0.12,0.10017072650038145
0.1,0.24,0.13,0.11616062575699565
0.1,0.24,0.14,0.1336298190643132
0.1,0.24,0.15,0.15266659338090624
0.1,0.24,0.16,0.1733654759778339
0.1,0.24,0.17,0.19582768937041364
0.1,0.24,0.18,0.2201615295723834
0.1,0.24,0.19,0.24648280454777477
0.1,0.24,0.2,0.2749155054827769
0.1,0.24,0.21,0.30559205558084007
0.1,0.24,0.22,0.3386542790890726
0.1,0.24,0.23,0.3742538787285299
0.1,0.24,0.24,0.41255347078236176
0.1,0.24,0.25,0.45372690907796465
0.1,0.24,0.26,0.49796072023303534
0.1,0.24,0.27,0.545454812979573
0.1,0.24,0.28,0.5964237656916561
0.1,0.24,0.29,0.6510977390498562
0.1,0.24,0.3,0.709724003281587
0.1,0.24,0.31,0.7725686883333829
0.1,0.24,0.32,0.839917314702976
0.1,0.24,0.33,0.9120783031222359
0.1,0.24,0.34,0.9893593015133197
0.1,0.24,0.35,0.9999942070817917
0.1,0.24,0.36,0.9999989996254741
0.1,0.24,0.37,0.9999988983210728
0.1,0.24,0.38,0.9999989983233628
0.1,0.24,0.39,0.9999989999656789
0.1,0.24,0.4,0.9999983600430269
0.1,0.24,0.41,0.9999988790291924
0.1,0.24,0.42,0.999998967579586
0.1,0.24,0.43,0.9999989897314038
0.1,0.24,0.44,0.9999989964745863
0.1,0.24,0.45,0.9999989987016665
0.1,0.24,0.46,0.9999989994913383
0.1,0.24,0.47,0.9999989997895486
0.1,0.24,0.48,0.9999989999085748
0.1,0.24,0.49,0.999998999958512
0.1,0.24,0.5,0.999998999980419
0.1,0.24,0.51,0.9999989999904221
0.1,0.24,0.52,0.9999989999951614
0.1,0.24,0.53,0.9999989999974818
0.1,0.24,0.54,0.9999989999986534
0.1,0.24,0.55,0.9999989999992617
0.1,0.24,0.56,0.9999989999995856
0.1,0.24,0.57,0.9999989999997625
0.1,0.24,0.58,0.9999989999998611
0.1,0.24,0.59,0.9999989999999173
0.1,0.24,0.6,0.9999989999999499
0.1,0.26,0.05,0.022475857606630574
0.1,0.26,0.06,0.029697842558214338
0.1,0.26,0.07,0.037868205448586996
0.1,0.26,0.08,0.04702889880836213
0.1,0.26,0.09,0.0572283789661866
0.1,0.26,0.1,0.06852019775068992
0.1,0.26,0.11,0.08096307006788302
0.1,0.26,0.12,0.09462069936901792
0.1,0.26,0.13,0.10956183560402971
0.1,0.26,0.14,0.1258604018662805
0.1,0.26,0.15,0.14359570775411815
0.1,0.26,0.16,0.16285269760214274
0.1,0.26,0.17,0.18372228026980145
0.1,0.26,0.18,0.20630168210088215
0.1,0.26,0.19,0.23069485170112117
0.1,0.26,0.2,0.25701295680574654
0.1,0.26,0.21,0.28537479366561247
0.1,0.26,0.22,0.3159074419730841
0.1,0.26,0.23,0.3487468162172979
0.1,0.26,0.24,0.3840382769306657
0.1,0.26,0.25,0.42193781488136606
0.1,0.26,0.26,0.4626118734380353
0.1,0.26,0.27,0.5062392467849972
0.1,0.26,0.28,0.5530114839319517
0.1,0.26,0.29,0.6031342749972765
0.1,0.26,0.3,0.65682813940916
0.1,0.26,0.31,0.7143300591986954
0.1,0.26,0.32,0.7758952756469514
0.1,0.26,0.33,0.8417973517630444
0.1,0.26,0.34,0.9123322357574841
0.1,0.26,0.35,0.9878064907324201
0.1,0.26,0.36,0.9999916582756373
0.1,0.26,0.37,0.9999989992782159
0.1,0.26,0.38,0.9999988472533802
0.1,0.26,0.39,0.9999989972652114
0.1,0.26,0.4,0.999998999939882
0.1,0.26,0.41,0.9999981377546917
0.1,0.26,0.42,0.999998832365176
0.1,0.26,0.43,0.9999989582074038
0.1,0.26,0.44,0.9999989866519342
0.1,0.26,0.45,0.9999989953845754
0.1,0.26,0.46,0.9999989982895594
0.1,0.26,0.47,0.9999989993262735
0.1,0.26,0.48,0.9999989997199029
0.1,0.26,0.49,0.9999989998778054
0.1,0.26,0.5,0.9999989999443389
0.1,0.26,0.51,0.9999989999736381
0.1,0.26,0.52,0.9999989999870661
0.1,0.26,0.53,0.999998999993447
0.1,0.26,0.54,0.9999989999965809
0.1,0.26,0.55,0.9999989999981673
0.1,0.26,0.56,0.999998999998993
0.1,0.26,0.57,0.9999989999994338
0.1,0.26,0.58,0.9999989999996748
0.1,0.26,0.59,0.9999989999998096
0.1,0.26,0.6,0.9999989999998864
0.1,0.28,0.05,0.021610618045545458
0.1,0.28,0.06,0.02848606200940388
0.1,0.28,0.07,0.036245515635841594
0.1,0.28,0.08,0.04492676807203158
0.1,0.28,0.09,0.05457330356866133
0.1,0.28,0.1,0.06523356208316988
0.1,0.28,0.11,0.07696064665115704
0.1,0.28,0.12,0.08981221929253821
0.1,0.28,0.13,0.10385052769245817
0.1,0.28,0.14,0.11914251314283081
0.1,0.28,0.15,0.13575996894358058
0.1,0.28,0.16,0.15377985196493746
0.1,0.28,0.17,0.1732843952563135
0.1,0.28,0.18,0.19436158898464342
0.1,0.28,0.19,0.21710545879448587
0.1,0.28,0.2,0.24161647244963794
0.1,0.28,0.21,0.2680020903093224
0.1,0.28,0.22,0.29637702255435616
0.1,0.28,0.23,0.32686402024316047
0.1,0.28,0.24,0.35959432493348087
0.1,0.28,0.25,0.394708224454212
0.1,0.28,0.26,0.43235663180615874
0.1,0.28,0.27,0.47269995051577207
0.1,0.28,0.28,0.5159109383131936
0.1,0.28,0.29,0.5621745401322494
0.1,0.28,0.3,0.6116895472436988
0.1,0.28,0.31,0.6646688390408256
0.1,0.28,0.32,0.7213413287822188
0.1,0.28,0.33,0.7819539440850047
0.1,0.28,0.34,0.84677065945357
0.1,0.28,0.35,0.9160780831242495
0.1,0.28,0.36,0.9901471318527957
0.1,0.28,0.37,0.9999921074719545
0.1,0.28,0.38,0.9999989991604492
0.1,0.28,0.39,0.9999988194785913
0.1,0.28,0.4,0.9999989964840463
0.1,0.28,0.41,0.9999989999167226
0.1,0.28,0.42,0.9999979593665909
0.1,0.28,0.43,0.9999987916691238
0.1,0.28,0.44,0.9999989503222259
0.1,0.28,0.45,0.9999989839442462
0.1,0.28,0.46,0.999998994391239
0.1,0.28,0.47,0.9999989979028702
0.1,0.28,0.48,0.9999989991674838
0.1,0.28,0.49,0.9999989996514838
0.1,0.28,0.5,0.9999989998470163
0.1,0.28,0.51,0.9999989999299268
0.1,0.28,0.52,0.9999989999666469
0.1,0.28,0.53,0.9999989999835618
0.1,0.28,0.54,0.9999989999916371
0.1,0.28,0.55,0.9999989999956201
0.1,0.28,0.56,0.9999989999976442
0.1,0.28,0.57,0.9999989999987015
0.1,0.28,0.58,0.9999989999992678
0.1,0.28,0.59,0.9999989999995783
0.1,0.28,0.6,0.9999989999997524
0.1,0.3,0.05,0.020847626731394828
0.1,0.3,0.06,0.027419089079135598
0.1,0.3,0.07,0.03481852178892783
0.1,0.3,0.08,0.043080190940835775
0.1,0.3,0.09,0.052243541320874276
0.1,0.3,0.1,0.06235263971701831
0.1,0.3,0.11,0.07345580664589951
0.1,0.3,0.12,0.08560561105021193
0.1,0.3,0.13,0.09885876326257419
0.1,0.3,0.14,0.11327629548514406
0.1,0.3,0.15,0.12892365929968402
0.1,0.3,0.16,0.14587096760790402
0.1,0.3,0.17,0.1641931867401539
0.1,0.3,0.18,0.18397046456799843
0.1,0.3,0.19,0.20528843169351288
0.1,0.3,0.2,0.228238560577901
0.1,0.3,0.21,0.2529185311935182
0.1,0.3,0.22,0.27943294319782613
0.1,0.3,0.23,0.3078931808368539
0.1,0.3,0.24,0.3384186034707839
0.1,0.3,0.25,0.3711367535271973
0.1,0.3,0.26,0.406184269820167
0.1,0.3,0.27,0.4437071440294579
0.1,0.3,0.28,0.4838619470415975
0.1,0.3,0.29,0.5268164243989752
0.1,0.3,0.3,0.5727503126466703
0.1,0.3,0.31,0.6218572608870819
0.1,0.3,0.32,0.674343999986442
0.1,0.3,0.33,0.7304331847329061
0.1,0.3,0.34,0.7903657217231915
0.1,0.3,0.35,0.8543975651560621
0.1,0.3,0.36,0.9228089318160018
0.1,0.3,0.37,0.9958589747982168
0.1,0.3,0.38,0.9999947122844612
0.1,0.3,0.39,0.9999989993617006
0.1,0.3,0.4,0.9999988258049903
0.1,0.3,0.41,0.9999989963059709
0.1,0.3,0.42,0.9999989999055257
0.1,0.3,0.43,0.9999978566065854
0.1,0.3,0.44,0.9999987641011909
0.1,0.3,0.45,0.9999989449666401
0.1,0.3,0.46,0.9999989819484157
0.1,0.3,0.47,0.9999989936128204
0.1,0.3,0.48,0.9999989975849638
0.1,0.3,0.49,0.9999989990317979
0.1,0.3,0.5,0.999998999591123
0.1,0.3,0.51,0.9999989998191151
0.1,0.3,0.52,0.9999989999165642
0.1,0.3,0.53,0.9999989999600339
0.1,0.3,0.54,0.999998999980189
0.1,0.3,0.55,0.9999989999898684
0.1,0.3,0.56,0.9999989999946682
0.1,0.3,0.57,0.9999989999971196
0.1,0.3,0.58,0.9999989999984057
0.1,0.3,0.59,0.9999989999990976
0.1,0.3,0.6,0.9999989999994785
0.1,0.32,0.05,0.020169983777794106
0.1,0.32,0.06,0.026472405692484574
0.1,0.32,0.07,0.033553793771053955
0.1,0.32,0.08,0.04144530822083878
0.1,0.32,0.09,0.05018293765818977
0.1,0.32,0.1,0.05980698194361558
0.1,0.32,0.11,0.07036171020104684
0.1,0.32,0.12,0.08189528099644137
0.1,0.32,0.13,0.09445970081382467
0.1,0.32,0.14,0.10811092814009143
0.1,0.32,0.15,0.12290898705758417
0.1,0.32,0.16,0.13891811945165453
0.1,0.32,0.17,0.15620714790536788
0.1,0.32,0.18,0.174849432830684
0.1,0.32,0.19,0.19492346049207993
0.1,0.32,0.2,0.21651301480329152
0.1,0.32,0.21,0.23970755780121197
0.1,0.32,0.22,0.26460271284417664
0.1,0.32,0.23,0.2913005006319552
0.1,0.32,0.24,0.31991003245104616
0.1,0.32,0.25,0.350547924694424
0.1,0.32,0.26,0.383338820331931
0.1,0.32,0.27,0.4184164825621238
0.1,0.32,0.28,0.45592347716243653
0.1,0.32,0.29,0.4960129849112662
0.1,0.32,0.3,0.5388490696009769
0.1,0.32,0.31,0.584607355707732
0.1,0.32,0.32,0.6334780580422861
0.1,0.32,0.33,0.6856627825878597
0.1,0.32,0.34,0.7413793322984173
0.1,0.32,0.35,0.8008650593664793
0.1,0.32,0.36,0.8643681079222842
0.1,0.32,0.37,0.9321654760659798
0.1,0.32,0.38,0.9999710307276525
0.1,0.32,0.39,0.9999971277257949
0.1,0.32,0.4,0.9999989996620652
0.1,0.32,0.41,0.9999988586283476
0.1,0.32,0.42,0.9999989967351118
0.1,0.32,0.43,0.99999899990973
0.1,0.32,0.44,0.9999978412627702
0.1,0.32,0.45,0.9999987535165119
0.1,0.32,0.46,0.9999989426767811
0.1,0.32,0.47,0.999998980870977
0.1,0.32,0.48,0.9999989931296781
0.1,0.32,0.49,0.9999989973680405
0.1,0.32,0.5,0.9999989989325626
0.1,0.32,0.51,0.9999989995445573
0.1,0.32,0.52,0.9999989997966523
0.1,0.32,0.53,0.9999989999054231
0.1,0.32,0.54,0.9999989999543567
0.1,0.32,0.55,0.9999989999772203
